wd:Q118525	wd:Q119253	Kuril–Kamchatka Trench	oceanic trench
wd:Q47779509	wd:Q104698	Rukan Ridge	mid-ocean ridge
wd:Q3079494	wd:Q119253	Beaufort's Dyke	oceanic trench
wd:Q47780392	wd:Q104698	Ogami Ridge	mid-ocean ridge
wd:Q468239	wd:Q104698	American–Antarctic Ridge	mid-ocean ridge
wd:Q3775916	wd:Q104698	Juan Fernández Ridge	mid-ocean ridge
wd:Q16919419	wd:Q119253	Intermontane Trench	oceanic trench
wd:Q47780371	wd:Q104698	Dazai Ridge	mid-ocean ridge
wd:Q7122268	wd:Q104698	Pacific-Kula Ridge	mid-ocean ridge
wd:Q666090	wd:Q119253	Puerto Rico Trench	oceanic trench
wd:Q3775911	wd:Q104698	Galapagos Rise	mid-ocean ridge
wd:Q118518	wd:Q119253	South Sandwich Trench	oceanic trench
wd:Q1002563	wd:Q104698	Explorer Ridge	mid-ocean ridge
wd:Q6511809	wd:Q151957	Lecointe Guyot	guyot
wd:Q2915909	wd:Q184358	Ra's Sudr	reef
wd:Q7122266	wd:Q104698	Pacific-Farallon Ridge	mid-ocean ridge
wd:Q4687618	wd:Q104698	Aegir Ridge	mid-ocean ridge
wd:Q2256025	wd:Q184358	Besser Rev	reef
wd:Q118544	wd:Q119253	Izu-Ogasawara Trench	oceanic trench
wd:Q119167	wd:Q119253	Cayman Trough	oceanic trench
wd:Q3391882	wd:Q184358	Plateau de Cordouan	reef
wd:Q118394	wd:Q119253	Sunda Trench	oceanic trench
wd:Q119177	wd:Q119253	Aleutian Trench	oceanic trench
wd:Q6753204	wd:Q119253	Manus Trench	oceanic trench
wd:Q9325558	wd:Q119253	Chagos Trench	oceanic trench
wd:Q558800	wd:Q104698	Pacific-Antarctic Ridge	mid-ocean ridge
wd:Q4178062	wd:Q184358	Supply Reef	reef
wd:Q4857957	wd:Q184358	Bar Reef	reef
wd:Q282663	wd:Q129264	Schjetman Reef	phantom island
wd:Q2482148	wd:Q184358	Vidvästern	reef
wd:Q420368	wd:Q104698	Norfolk Ridge	mid-ocean ridge
wd:Q118537	wd:Q119253	Japan Trench	oceanic trench
wd:Q11702687	wd:Q104698	$null$	mid-ocean ridge
wd:Q1413799	wd:Q129264	Filippo Reef	phantom island
wd:Q119294	wd:Q119253	Tonga Trench	oceanic trench
wd:Q2410477	wd:Q184358	The Coral Patches	reef
wd:Q2405955	wd:Q184358	Louisa Reef	reef
wd:Q2597480	wd:Q184358	Malkallen	reef
wd:Q119196	wd:Q119253	Kermadec Trench	oceanic trench
wd:Q118873	wd:Q119253	Peru–Chile Trench	oceanic trench
wd:Q3756109	wd:Q184358	Che Lei Pai	reef
wd:Q2882024	wd:Q184358	Banc du Geyser	reef
wd:Q5434800	wd:Q119253	Farallon Trench	oceanic trench
wd:Q11989774	wd:Q104698	$null$	mid-ocean ridge
wd:Q9325582	wd:Q119253	Timor Trough	oceanic trench
wd:Q2904690	wd:Q184358	Bishops and Clerks	reef
wd:Q4778861	wd:Q83620	Ap Tau Pai	thoroughfare
wd:Q153840	wd:Q104698	Southwest Indian Ridge	mid-ocean ridge
wd:Q61710155	wd:Q104698	Knipovich Ridge	mid-ocean ridge
wd:Q4778861	wd:Q184358	Ap Tau Pai	reef
wd:Q1423293	wd:Q119253	Yap Trench	oceanic trench
wd:Q558898	wd:Q104698	Southeast Indian Ridge	mid-ocean ridge
wd:Q6442696	wd:Q104698	Kula-Farallon Ridge	mid-ocean ridge
wd:Q510	wd:Q119253	Mariana Trench	oceanic trench
wd:Q973293	wd:Q104698	Mendeleev Ridge	mid-ocean ridge
wd:Q2602133	wd:Q184358	Vuladdore Reef	reef
wd:Q7186973	wd:Q104698	Phoenix Ridge	mid-ocean ridge
wd:Q4353271	wd:Q119253	Devil's Hole	oceanic trench
wd:Q2906582	wd:Q184358	Bligh Reef	reef
wd:Q604529	wd:Q104698	East Pacific Rise	mid-ocean ridge
wd:Q3454563	wd:Q184358	Colvocoresses Reef	reef
wd:Q2891647	wd:Q184358	Batt Reef	reef
wd:Q594978	wd:Q119253	Romanche Trench	oceanic trench
wd:Q3212697	wd:Q184358	La Saline	reef
wd:Q164040	wd:Q119253	Middle America Trench	oceanic trench
wd:Q2611158	wd:Q184358	Germandösten	reef
wd:Q603523	wd:Q104698	Gakkel Ridge	mid-ocean ridge
wd:Q4392610	wd:Q104698	$null$	mid-ocean ridge
wd:Q2488413	wd:Q184358	Ajaxarna	reef
wd:Q4533951	wd:Q104698	$null$	mid-ocean ridge
wd:Q4876569	wd:Q151957	Bear Seamount	guyot
wd:Q4882566	wd:Q151957	Belgica Guyot	guyot
wd:Q1002671	wd:Q104698	Gorda Ridge	mid-ocean ridge
wd:Q1085390	wd:Q119253	Manila Trench	oceanic trench
wd:Q47780344	wd:Q104698	Koyo Ridge	mid-ocean ridge
wd:Q3028522	wd:Q104698	Alpha Ridge	mid-ocean ridge
