c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
obo:ENVO_00000004	administrative region	wd:Q3455524	administrative region	obo:BFO_0000029		wd:Q1048835|wd:Q56061	political territorial entity|administrative territorial entity	high		administrative region		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000011	garden	wd:Q1107656	garden	obo:ENVO_00000002	anthropogenic geographic feature	wd:Q107425|wd:Q1165944|wd:Q17350442|wd:Q21950738|wd:Q22652|wd:Q35145743|wd:Q628858	landscape|land use|venue|exterior space|green space|human-made landform|workplace	high		garden		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000015	ocean	wd:Q9430	ocean	obo:ENVO_00001999|obo:ENVO_01001319	marine water body|saline water body	wd:Q15324|wd:Q2221906|wd:Q35145263	body of water|geographic location|natural geographic object	high		ocean		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000016	sea	wd:Q165	sea	obo:ENVO_00001999|obo:ENVO_01001319	marine water body|saline water body	wd:Q2221906|wd:Q2507626|wd:Q337567	geographic location|water area|still waters	high		sea		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000019	saline lake	wd:Q188025	salt lake	obo:ENVO_00000020|obo:ENVO_01001319	lake|saline water body	wd:Q23397	lake	high		salt lake		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000020	lake	wd:Q23397	lake	obo:ENVO_01000617	lentic water body	wd:Q271669|wd:Q337567	landform|still waters	high		lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000022	river	wd:Q4022	river	obo:ENVO_00000023	stream	wd:Q55659167	natural watercourse	high		river		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000026	well	wd:Q43483	well	obo:ENVO_00000002	anthropogenic geographic feature	wd:Q15324|wd:Q1630622|wd:Q811979	body of water|drinking fountain|architectural structure	high		well		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000029	watercourse	wd:Q355304	watercourse	obo:ENVO_01000618	lotic water body	wd:Q863944	land waters	high		watercourse		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000031	wadi	wd:Q187971	wadi	obo:ENVO_00000100|obo:ENVO_01000980	valley|channel of an intermittent stream	wd:Q39816	valley	high		wadi		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000033	pond	wd:Q3253281	pond	obo:ENVO_01000617	lentic water body	wd:Q131681|wd:Q27096235|wd:Q337567	reservoir|artificial geographic entity|still waters	high		pond		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000034	rapids	wd:Q695793	rapids	obo:ENVO_01001308|obo:ENVO_00000023	hydroform|stream	wd:Q15324	body of water	high		rapids		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000035	marsh	wd:Q30198	marsh	obo:ENVO_01001209	wetland ecosystem	wd:Q170321	wetland	high		marsh		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000036	irrigation canal	wd:Q2935978	irrigation canal	obo:ENVO_00000014	canal	wd:Q8261440	canal for transporting water	high		irrigation canal		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000039	fjord	wd:Q45776	fjord	obo:ENVO_00000137	coastal inlet	wd:Q35116038	shoreline indentation	high		fjord		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000041	tidal creek	wd:Q27250	tidal creek	obo:ENVO_00000412	tidal watercourse	wd:Q355304	watercourse	high		tidal creek		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000042	drainage canal	wd:Q28109789	drainage canal	obo:ENVO_00000014	canal	wd:Q12284	canal	high		drainage canal		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000044	peatland	wd:Q36449705	peatland	obo:ENVO_00000043	wetland area	wd:Q170321	wetland	high		peatland		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000045	estuary	wd:Q47053	estuary	obo:ENVO_00000063	water body	wd:Q15324|wd:Q3304561|wd:Q3578576	body of water|marine ecosystem|river ecosystem	high		estuary		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000046	hedge	wd:Q235779	hedge	obo:ENVO_00000002	anthropogenic geographic feature	wd:Q148571|wd:Q37813	fence|ecosystem	high		hedge		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000050	geyser	wd:Q83471	geyser	obo:ENVO_00000051	hot spring	wd:Q124714|wd:Q29025902|wd:Q29436423	spring|volcanic landform|volcanic phenomenon	high		geyser		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000051	hot spring	wd:Q177380	hot spring	obo:ENVO_00000027	spring	wd:Q124714	spring	high		hot spring		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000053	freshwater marsh	wd:Q31455	freshwater marsh	obo:ENVO_00000035	marsh	wd:Q30198	marsh	high		freshwater marsh		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000054	saline marsh	wd:Q29925	salt marsh	obo:ENVO_00000035	marsh	wd:Q6764288	marine habitat	high		salt marsh		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000057	mangrove swamp	wd:Q28129994	mangrove swamp	obo:ENVO_00000230	coastal wetland ecosystem	wd:Q166735	swamp	high		mangrove swamp		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000058	underground lake	wd:Q1048337	underground lake	obo:ENVO_00000020|obo:ENVO_00000061	lake|underground water body	wd:Q23397|wd:Q863404	lake|subterranea	high		underground lake		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000065	railway	wd:Q22667	railway	obo:ENVO_00000010	transport feature	wd:Q350783	rail guided transport	high		railway		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000067	cave	wd:Q35509	cave	obo:ENVO_00000191	solid astronomical body part	wd:Q271669|wd:Q35145263|wd:Q863404	landform|natural geographic object|subterranea	high		cave		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000068	tunnel	wd:Q44377	tunnel	obo:ENVO_03000117	channel	wd:Q12146012|wd:Q16869167|wd:Q20204151	underground building|passageway|hole	high		tunnel		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000069	distributary	wd:Q591942	distributary	obo:ENVO_00000023	stream	wd:Q4022	river	high		distributary		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000074	dam	wd:Q12323	dam	obo:ENVO_01000467	constructed barrier	wd:Q1411945|wd:Q15324|wd:Q2466889	civil engineering construction|body of water|hydraulic structure	high		dam		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000078	farm	wd:Q131596	farm	obo:ENVO_01001200	anthropised terrestrial environmental zone	wd:Q14788575|wd:Q5890494	rural settlement|homestead	high		farm		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000079	flume	wd:Q68530	flume	obo:ENVO_00000014	canal	wd:Q12284	canal	high		flume		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000083	hill	wd:Q54050	hill	obo:ENVO_00000477	mount	wd:Q17334923|wd:Q271669	location|landform	high		hill		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000086	plain	wd:Q160091	plain	obo:ENVO_00000191	solid astronomical body part	wd:Q271669	landform	high		plain		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000087	cliff	wd:Q107679	cliff	obo:ENVO_00002000	slope	wd:Q271669	landform	high		cliff		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000090	coastal plain	wd:Q31566	coastal plain	obo:ENVO_00000086	plain	wd:Q271669	landform	high		coastal plain		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000091	beach	wd:Q40080	beach	obo:ENVO_00000191|obo:ENVO_00000304	solid astronomical body part|shore	wd:Q17350442|wd:Q19817101|wd:Q468756	venue|coastal landform|shore	high		beach		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000096	caldera	wd:Q159954	caldera	obo:ENVO_00000094|obo:ENVO_00000514	volcanic feature|crater	wd:Q190429|wd:Q29025902	depression|volcanic landform	high		caldera		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000098	island	wd:Q23442	island	obo:ENVO_00000000	geographic feature	wd:Q205895|wd:Q271669	landmass|landform	high		island		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000099	artificial island	wd:Q13691	artificial island	obo:ENVO_00000098	island	wd:Q15710804|wd:Q19816755|wd:Q23442|wd:Q28550993	built structure|artificial landform|island|reclaimed land	high		artificial island		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000100	valley	wd:Q39816	valley	obo:ENVO_03000015	geographic basin	wd:Q22978151|wd:Q271669|wd:Q35145263|wd:Q82794	low spot|landform|natural geographic object|geographic region	high		valley		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000101	delta	wd:Q49506	Delta	obo:ENVO_00000386	river mouth	wd:Q697175	launch vehicle	high		delta		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000107	heath	wd:Q27590	heath	obo:ENVO_01001305	vegetated area	wd:Q1803829|wd:Q879641	landscape type|shrubland	high		heath		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000108	meadow ecosystem	wd:Q7777019	meadow	obo:ENVO_01001206	grassland ecosystem			high		meadow		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000112	tundra	wd:Q43262	tundra	obo:ENVO_01001305|obo:ENVO_01000180|obo:ENVO_01001370	vegetated area|tundra biome|tundra ecosystem	wd:Q101998	biome	high		tundra		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000115	orchard	wd:Q236371	orchard	obo:ENVO_00000117	plantation	wd:Q188913	plantation	high		orchard		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000116	vineyard	wd:Q22715	vineyard	obo:ENVO_00000117	plantation	wd:Q188913	plantation	high		vineyard		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000123	political entity	wd:Q16562419	political entity	obo:ENVO_00000004	administrative region	wd:Q1063239	polity	high		political entity		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000125	mineral spring	wd:Q1365924	mineral spring	obo:ENVO_00000027	spring	wd:Q124714|wd:Q283	spring|water	high		mineral spring		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000126	sulfur spring	wd:Q12054316	sulphur spring	obo:ENVO_00000027	spring	wd:Q124714	spring	high		sulphur spring		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000127	badland	wd:Q272921	badlands	obo:ENVO_00000191	solid astronomical body part	wd:Q271669	landform	high		badlands		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000130	rocky reef	wd:Q184358	reef	obo:ENVO_00000012	hydrographic feature			high		reef		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000132	ice sheet	wd:Q12599	ice sheet	obo:ENVO_00000133	glacier	wd:Q878077	ice cap	high		ice sheet		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000133	glacier	wd:Q35666	glacier	obo:BFO_0000030		wd:Q59674586	Ice Cover	high		glacier		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000142	stream bank	wd:Q3706062	stream bank	obo:ENVO_00000141	bank	wd:Q2897058	bank	high		stream bank		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000145	ice cap	wd:Q878077	ice cap	obo:ENVO_01001547	land ice mass	wd:Q35666	glacier	high		ice cap		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000146	snow field	wd:Q1365419	snow field	obo:ENVO_01000352	field	wd:Q271669	landform	high		snow field		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000147	ocean current	wd:Q129558	ocean current	obo:ENVO_01000067|obo:ENVO_00000015	marine current|ocean	wd:Q35145263|wd:Q4456944	natural geographic object|current (fluid)	high		ocean current		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000149	artificial reef	wd:Q985843	artificial reef	obo:ENVO_00000130	rocky reef	wd:Q184358|wd:Q19816755	reef|artificial landform	high		artificial reef		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000150	coral reef	wd:Q11292	coral reef	obo:ENVO_01000143	marine reef	wd:Q184358|wd:Q2904042	reef|bioconstruction	high		coral reef		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000151	sabkha	wd:Q637600	sabkha	obo:ENVO_00000196	alkaline flat	wd:Q23397	lake	high		sabkha		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000152	anabranch	wd:Q661702	anabranch	obo:ENVO_00000023	stream	wd:Q355304	watercourse	high		anabranch		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000158	causeway	wd:Q892168	causeway	obo:ENVO_00000010	transport feature	wd:Q83620	thoroughfare	high		causeway		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000166	atoll	wd:Q42523	atoll	obo:ENVO_00000222	oceanic island	wd:Q205895	landmass	high		atoll		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000169	canyon	wd:Q150784	canyon	obo:ENVO_00000100	valley	wd:Q39816|wd:Q55462971	valley|fluvial landform	high		canyon		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000170	dune	wd:Q25391	dune	obo:ENVO_00000083	hill	wd:Q4687862|wd:Q54050	aeolian landform|hill	high		dune		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000171	river valley	wd:Q10531318	river valley	obo:ENVO_00000129	stream valley	wd:Q39816	valley	high		river valley		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000174	isthmus	wd:Q93267	isthmus	obo:ENVO_00000000	geographic feature	wd:Q271669	landform	high		isthmus		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000175	karst	wd:Q16817	karst	obo:ENVO_00000191	solid astronomical body part	wd:Q107425	landscape	high		karst		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000177	moraine	wd:Q2610088	moraine	obo:ENVO_00000000	geographic feature	wd:Q2421276	glacial landform	high		moraine		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000178	levee	wd:Q105190	levee	obo:ENVO_00000012|obo:ENVO_00000070|obo:ENVO_00002000	hydrographic feature|construction|slope	wd:Q1411945|wd:Q19816755|wd:Q2630707	civil engineering construction|artificial landform|flood defense	high		levee		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000180	mound	wd:Q1584134	mound	obo:ENVO_00000477	mount	wd:Q811430	construction	high		mound		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000181	nunatak	wd:Q194408	nunatak	obo:ENVO_00000480	peak	wd:Q35145263	natural geographic object	high		nunatak		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000182	plateau	wd:Q75520	plateau	obo:ENVO_01001491	flattened elevation	wd:Q271669	landform	high		plateau		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000184	hanging valley	wd:Q1006357	hanging valley	obo:ENVO_00000248	glacial valley	wd:Q1410408	side valley	high		hanging valley		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000188	palsa mire	wd:Q61748425	Palsa mire	obo:ENVO_00000044	peatland	wd:Q1681353	bog	high		palsa mire		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000192	mudflat	wd:Q31796	mudflat	obo:ENVO_00000230	coastal wetland ecosystem	wd:Q19817101	coastal landform	high		mudflat		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000193	olive grove	wd:Q3350685	olive grove	obo:ENVO_00000117	plantation	wd:Q236371	orchard	high		olive grove		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000194	scree	wd:Q1133195	scree	obo:ENVO_00010483	environmental material	wd:Q271669	landform	high		scree		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000197	endorheic lake	wd:Q9019918	endorheic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		endorheic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000199	meromictic lake	wd:Q1165822	meromictic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		meromictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000200	periglacial lake	wd:Q28208708	periglacial lake	obo:ENVO_00000488	glacial lake	wd:Q211302	glacial lake	high		periglacial lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000202	oxbow lake	wd:Q209333	oxbow lake	obo:ENVO_00000020	lake	wd:Q180537|wd:Q23397	meander|lake	high		oxbow lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000203	rift lake	wd:Q6341928	rift lake	obo:ENVO_01001092	tectonic lake	wd:Q23397	lake	high		rift lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000215	hydrothermal vent	wd:Q867648	hydrothermal vent	obo:ENVO_00000027	spring			high		hydrothermal vent		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000216	fumarole	wd:Q105880	fumarole	obo:ENVO_01000667	geological fracture	wd:Q271669|wd:Q29436423	landform|volcanic phenomenon	high		fumarole		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
