obo:GAZ_00000003	Wenatchee Valley College	wd:Q7982289	Wenatchee Valley College	obo:GAZ_00167654	City of Wenatchee	wd:Q23002039|wd:Q189004	public educational institution of the United States|college	high		wenatchee valley college		info(label-label,rdf(obo:GAZ_00000003,rdfs:label,Wenatchee Valley College)-rdf(wd:Q7982289,rdfs:label,Wenatchee Valley College),downcase)									
obo:GAZ_00000006	Liancourt Rocks	wd:Q20317	Liancourt Rocks	obo:GAZ_00007658|obo:GAZ_00027919	Sea of Japan|Ulleung County	wd:Q15239622|wd:Q33837	disputed territory|archipelago	high		liancourt rocks		info(label-label,rdf(obo:GAZ_00000006,rdfs:label,Liancourt Rocks)-rdf(wd:Q20317,rdfs:label,Liancourt Rocks),downcase)									
obo:GAZ_00000008	Lake Elmenteita	wd:Q517633	Lake Elmenteita	obo:GAZ_00000007|obo:GAZ_00004714	Great Rift Valley|Rift Valley Province	wd:Q23397	lake	high		lake elmenteita		info(label-label,rdf(obo:GAZ_00000008,rdfs:label,Lake Elmenteita)-rdf(wd:Q517633,rdfs:label,Lake Elmenteita),downcase)									
obo:GAZ_00000016	Aokigahara	wd:Q615767	Aokigahara	obo:GAZ_00004236	Mount Fuji	wd:Q4421	forest	high		aokigahara		info(label-label,rdf(obo:GAZ_00000016,rdfs:label,Aokigahara)-rdf(wd:Q615767,rdfs:label,Aokigahara),downcase)									
obo:GAZ_00000017	Canada Glacier	wd:Q916190	Canada Glacier	obo:GAZ_00002626	Taylor Valley	wd:Q35666	glacier	high		canada glacier		info(label-label,rdf(obo:GAZ_00000017,rdfs:label,Canada Glacier)-rdf(wd:Q916190,rdfs:label,Canada Glacier),downcase)									
obo:GAZ_00000019	Presidente Figueiredo	wd:Q655097	Presidente Figueiredo	obo:GAZ_00002831|obo:GAZ_00081113	populated place, Brazil|Municipality of Presidente Figueiredo	wd:Q3184121	municipality of Brazil	high		presidente figueiredo		info(label-label,rdf(obo:GAZ_00000019,rdfs:label,Presidente Figueiredo)-rdf(wd:Q655097,rdfs:label,Presidente Figueiredo),downcase)									
obo:GAZ_00000023	Wulian County	wd:Q1198373	Wulian County	obo:GAZ_00000022	Rizhao City Prefecture	wd:Q1289426	county of China	high		wulian county		info(label-label,rdf(obo:GAZ_00000023,rdfs:label,Wulian County)-rdf(wd:Q1198373,rdfs:label,Wulian County),downcase)									
obo:GAZ_00000036	Guguan Island	wd:Q27728282	Guguan Island	obo:GAZ_00009598	Municipality of the Northern Islands	wd:Q23442	island	high		guguan island		info(label-label,rdf(obo:GAZ_00000036,rdfs:label,Guguan Island)-rdf(wd:Q27728282,rdfs:label,Guguan Island),downcase)									
obo:GAZ_00000040	Dagowsee	wd:Q26107622	Dagowsee	obo:GAZ_00640449	Stechlin	wd:Q23397	lake	high		dagowsee		info(label-label,rdf(obo:GAZ_00000040,rdfs:label,Dagowsee)-rdf(wd:Q26107622,rdfs:label,Dagowsee),downcase)									
obo:GAZ_00000048	Tomales Bay	wd:Q7818240	Tomales Bay	obo:GAZ_00008649|obo:GAZ_00051136	Marin County|North East Pacific Ocean coastal waters of California	wd:Q39594	bay	high		tomales bay		info(label-label,rdf(obo:GAZ_00000048,rdfs:label,Tomales Bay)-rdf(wd:Q7818240,rdfs:label,Tomales Bay),downcase)									
obo:GAZ_00000056	Kagoshima Bay	wd:Q1141442	Kagoshima Bay	obo:GAZ_00057629	Kirishima-Yaku National Park	wd:Q39594	bay	high		kagoshima bay		info(label-label,rdf(obo:GAZ_00000056,rdfs:label,Kagoshima Bay)-rdf(wd:Q1141442,rdfs:label,Kagoshima Bay),downcase)									
