c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:human/Manned	manned	wd:Q64214393	manned	sweet:human/HumanActivity	human activity	wd:Q1207505	quality	high		manned		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanAgriculture/Overfishing	overfishing	wd:Q331828	overfishing	sweet:humanAgriculture/Fishing	fishing	wd:Q334622|wd:Q3737914	tragedy of the commons|resource depletion	high		overfishing		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanAgriculture/Sericulture	sericulture	wd:Q864650	sericulture	sweet:humanAgriculture/AnimalProduction	animal production	wd:Q29028649	economic concept	high		sericulture		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanCommerce/Prospecting	prospecting	wd:Q1650350	prospecting	sweet:humanCommerce/Exploration	exploration	wd:Q1914636	activity	high		prospecting		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirControl/Biosequestration	biosequestration	wd:Q4915284	Biosequestration	sweet:humanEnvirControl/CarbonSequestration	carbon sequestration	wd:Q7937	climate	high		biosequestration		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirControl/CloudSeeding	cloud seeding	wd:Q217418	cloud seeding	sweet:humanEnvirControl/EnvironmentalControlStrategy	environmental control strategy	wd:Q10843872	engineering process	high		cloud seeding		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirControl/ControlledBurn	controlled burn	wd:Q2589818	controlled burn	sweet:humanEnvirControl/EnvironmentalControlStrategy	environmental control strategy	wd:Q1799072	method	high		controlled burn		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirControl/WastewaterTreatment	wastewater treatment	wd:Q20127660	wastewater treatment	sweet:humanEnvirControl/Treatment	treatment	wd:Q29028649	economic concept	high		wastewater treatment		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirControl/WaterManagement	water management	wd:Q1501619	water management	sweet:humanCommerce/Management	management	wd:Q268592	economic branch	high		water management		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirStandards/ATCM	atcm	wd:Q3601300	ATCM			wd:Q4830453|wd:Q6881511	business|enterprise	high		atcm		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirStandards/AcceptableDailyIntake	acceptable daily intake	wd:Q680142	acceptable daily intake	sweet:humanEnvirStandards/AcceptableLevel	acceptable level	wd:Q473420|wd:Q764285	dose|chemical property	high		acceptable daily intake		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirStandards/EnvironmentalProtectionAgency	environmental protection agency	wd:Q12327237	Environmental Protection Agency	sweet:humanEnvirStandards/EnvironmentalStandardsBody	environmental standards body	wd:Q327333	government agency	high		environmental protection agency		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirStandards/MontrealProtocol	montreal protocol	wd:Q219438	Montreal Protocol	sweet:humanJurisdiction/Treaty	treaty	wd:Q5381350	environmental protocol	high		montreal protocol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanEnvirStandards/ResourceConservationAndRecoveryAct	resource conservation and recovery act	wd:Q7315799	Resource Conservation and Recovery Act	sweet:humanEnvirStandards/EnvironmentalLaw	environmental law	wd:Q476068	Act of Congress (United States)	high		resource conservation and recovery act		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanJurisdiction/MetropolitanArea	metropolitan area	wd:Q1907114	metropolitan area	sweet:humanJurisdiction/AdministrativeRegion	administrative region			high		metropolitan area		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanKnowledgeDomain/Oceanology	oceanology	wd:Q3349060	oceanology	sweet:humanKnowledgeDomain/Oceanography	oceanography	wd:Q336	science	high		oceanology		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanKnowledgeDomain/Phenology	phenology	wd:Q272737	phenology	sweet:humanKnowledgeDomain/Climatology	climatology	wd:Q11862829|wd:Q4671286	academic discipline|academic major	high		phenology		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanResearch/ProofOfConcept	proof of concept	wd:Q1201019	proof of concept	sweet:humanResearch/Proof|sweet:humanResearch/Research	proof|research	wd:Q207977	prototype	high		proof of concept		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanTechReadiness/TechnologyReadinessLevel	technology readiness level	wd:Q1478071	technology readiness level	sweet:repr/OrdinalScale	ordinal scale	wd:Q1630279|wd:Q317623	guideline|technical standard	high		technology readiness level		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanTransportation/FederalAviationAdministration	federal aviation administration	wd:Q335357	Federal Aviation Administration	sweet:humanJurisdiction/FederalGoverningBody	federal governing body	wd:Q1875618|wd:Q20857065|wd:Q2828218	aviation authority|United States federal agency|air navigation service provider	high		federal aviation administration		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:humanTransportation/SpaceProgram	space program	wd:Q60054001	space program	sweet:human/HumanActivity	human activity			high		space program		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/BromineNitrate	bromine nitrate	wd:Q15142590	bromine nitrate	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173	chemical compound	high		bromine nitrate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/CarbonicAcid	carbonic acid	wd:Q104334	carbonic acid	sweet:matrCompound/InorganicAcid	inorganic acid	wd:Q11173|wd:Q497173	chemical compound|oxoacid	high		carbonic acid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/ChemicalCompound	chemical compound	wd:Q11173	chemical compound			wd:Q24017414	first-order metaclass	high		chemical compound		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/ChlorineDioxide	chlorine dioxide	wd:Q422080	chlorine dioxide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q10913792|wd:Q11173|wd:Q5457310	flammable gas|chemical compound|flammable liquid	high		chlorine dioxide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/ChlorineNitrate	chlorine nitrate	wd:Q2563692	chlorine nitrate	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173	chemical compound	high		chlorine nitrate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/DinitrogenPentoxide	dinitrogen pentoxide	wd:Q408458	dinitrogen pentoxide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173|wd:Q12370|wd:Q2912543|wd:Q423118	chemical compound|salt|molecular compound|acid anhydride	high		dinitrogen pentoxide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/HydrogenBromide	hydrogen bromide	wd:Q2447	hydrogen bromide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173	chemical compound	high		hydrogen bromide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/HydrogenChloride	hydrogen chloride	wd:Q211086	hydrogen chloride	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173	chemical compound	high		hydrogen chloride		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/HydrogenFluoride	hydrogen fluoride	wd:Q2468	hydrogen fluoride	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173	chemical compound	high		hydrogen fluoride		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/Hydroperoxyl	hydroperoxyl	wd:Q1088474	hydroperoxyl	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173|wd:Q185056	chemical compound|radical	high		hydroperoxyl		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q190065	inorganic compound	sweet:matrCompound/Compound	compound	wd:Q17339814	group or class of chemical substances	high		inorganic compound		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/IronOxide	iron oxide	wd:Q721849	iron oxide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q47154513	structural class of chemical compounds	high		iron oxide		[info(label,label,downcase)]	[info(label,label,downcase)]								
