
obo:ENVO_00000054	saline marsh	obo:ENVO_01001209	wetland ecosystem
obo:ENVO_00000215	hydrothermal vent	obo:ENVO_00000051	hot spring
obo:ENVO_00000261	savanna	obo:ENVO_01001110	ecosystem
obo:ENVO_01001206	grassland ecosystem	obo:ENVO_01000739	habitat
obo:GAZ_00000006	Liancourt Rocks	obo:ENVO_00000220	archipelago
obo:GAZ_00000008	Lake Elmenteita	obo:ENVO_00000020	lake
obo:GAZ_00000017	Canada Glacier	obo:ENVO_00000133	glacier
obo:GAZ_00000036	Guguan Island	obo:ENVO_00000098	island
obo:GAZ_00000040	Dagowsee	obo:ENVO_00000020	lake
obo:GAZ_00000060	Fram Strait	obo:ENVO_00000394	strait
obo:GAZ_00000150	Chonos Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00000321	Norwegian Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000322	East Greenland Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000323	Arctic Ocean	obo:ENVO_00000015	ocean
obo:GAZ_00000325	Benguela current	obo:ENVO_00000147	ocean current
obo:GAZ_00000326	Brazil Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000327	Antilles Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000328	Cape Horn Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000329	Falkland Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000330	Caribbean Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000331	Canary Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000332	Angola Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000334	Labrador Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000335	North Atlantic Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000336	West Greenland Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000337	Portugal Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000338	Aleutian Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000339	South Atlantic Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000340	North Brazil Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000341	Guinea Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000346	California Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000349	Kuroshio Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000350	Kamchatka Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000351	Cromwell Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000352	East Australian Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000353	Mindanao Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000354	North Equatorial Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000355	Alaska Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000356	South Equatorial Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000357	Oyashio Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000359	North Pacific Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000360	Pacific Ocean	obo:ENVO_00000015	ocean
obo:GAZ_00000362	Madagascar Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000363	Somali Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000364	East Madagascar Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000366	Leeuwin Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000368	West Australian Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000370	Mozambique Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000376	Antarctic Circumpolar Current	obo:ENVO_00000147	ocean current
obo:GAZ_00000378	South Atlantic Ocean	obo:ENVO_00000016	sea
obo:GAZ_00000507	Laguna de Retana	obo:ENVO_01001062	crater lake
obo:GAZ_00000575	Isla de Isabel II	obo:ENVO_00000098	island
obo:GAZ_00000577	Isla del Congreso	obo:ENVO_00000098	island
obo:GAZ_00000578	Isla de Tierra	obo:ENVO_00000098	island
obo:GAZ_00000852	Grupo Oriental	obo:ENVO_00000098	island
obo:GAZ_00000854	Grupo Central	obo:ENVO_00000098	island
obo:GAZ_00001147	Isla de La Palma	obo:ENVO_00000098	island
obo:GAZ_00001165	Stoltenhoff Island	obo:ENVO_00000098	island
obo:GAZ_00001168	Boatswain Bird Island	obo:ENVO_00000098	island
obo:GAZ_00001170	Anuta Island	obo:ENVO_00000098	island
obo:GAZ_00001173	Tinhosa Grande	obo:ENVO_00000098	island
obo:GAZ_00001174	Tinhosa Pequena	obo:ENVO_00000098	island
obo:GAZ_00001183	Ilha da Racha	obo:ENVO_00000098	island
obo:GAZ_00001219	Kolbeinsey	obo:ENVO_00000098	island
obo:GAZ_00001220	Papey	obo:ENVO_00000098	island
